1,565,3
1,807,2
1,201,1
1,557,9
1,987,10
1,59,5
1,305,6
1,153,3
1,139,7
1,875,5
1,722,10
2,977,4
2,806,3
2,654,8
2,21,8
2,662,5
2,437,6
2,576,3
2,141,8
2,311,4
2,101,3
2,540,9
2,87,3
2,65,8
2,501,6
2,710,5
2,331,9
2,542,4
2,757,9
2,590,7
2,216,9
2,80,9
2,590,7
3,829,7
3,324,7
3,768,7
3,922,5
3,451,9
3,564,9
3,942,8
3,460,9
3,648,8
3,797,4
3,251,9
3,767,3
3,400,2
3,776,2
3,59,4
3,666,9
3,622,4
3,875,3
6,457,9
6,491,5
6,209,3
6,541,6
6,259,6
6,536,9
6,972,2
6,788,9
6,326,10
6,103,1
6,761,3
6,221,2
6,901,5
6,127,2
6,413,2
6,189,3
6,759,10
6,74,6
6,124,5
6,42,1
6,791,8
9,152,5
9,41,9
9,497,8
9,411,5
9,110,2
9,591,1
9,221,2
9,107,5
9,65,6
9,521,3
9,157,10
9,224,9
9,305,9
9,724,7
9,885,8
9,200,2
9,337,10
9,73,8
9,671,6
9,872,1
9,963,2
10,261,7
10,486,8
10,534,8
10,771,3
10,925,6
10,602,9
10,451,5
10,390,7
10,954,8
10,808,8
10,261,6
10,844,5
10,108,9
10,320,3
10,448,1
10,196,8
10,500,8
12,465,9
12,4,9
12,252,7
12,511,1
12,41,5
12,175,4
12,658,5
12,98,3
12,169,6
12,190,2
12,392,1
12,510,4
12,730,8
12,244,2
12,962,2
12,360,4
12,830,5
12,306,4
12,997,8
15,945,9
15,714,6
15,459,8
15,277,7
15,837,1
15,543,2
15,285,1
15,914,10
15,773,5
15,463,9
15,440,8
15,818,3
15,354,3
15,944,8
15,805,6
15,974,4
15,226,5
15,835,5
15,321,9
15,239,9
15,854,8
16,283,2
16,411,9
16,484,5
16,158,10
16,166,8
16,918,3
16,954,5
16,253,6
16,346,8
16,500,5
16,50,1
16,389,9
16,425,6
16,971,1
16,758,4
16,492,5
16,472,5
16,425,6
16,343,3
16,54,10
16,676,7
16,347,6
16,220,6
16,258,9
16,400,5
17,720,1
17,831,7
17,595,8
17,571,3
17,737,5
17,310,8
17,132,8
17,337,6
17,514,6
17,990,4
17,544,4
17,916,9
17,552,2
17,759,4
17,699,7
25,97,6
25,568,9
25,637,10
25,516,5
25,930,8
25,267,5
25,299,3
25,30,8
25,343,10
25,624,9
25,997,4
25,162,4
25,544,9
25,953,3
25,589,2
25,102,5
25,861,7
25,800,4
25,965,6
25,151,1
25,485,4
26,32,3
26,387,10
26,767,6
26,644,7
26,921,3
26,777,6
26,156,2
26,106,9
26,459,6
26,150,4
26,274,7
26,904,6
26,811,5
26,179,2
26,754,2
26,204,5
26,35,2
26,582,9
26,640,7
26,754,9
26,239,3
26,433,10
26,96,2
26,351,10
26,817,3
27,346,5
27,129,3
27,115,9
27,288,9
27,192,3
27,603,8
27,886,7
27,612,4
27,263,7
27,397,2
27,235,2
27,705,5
27,483,5
27,923,9
27,959,2
27,502,9
27,703,9
28,852,5
28,184,4
28,776,2
28,938,4
28,710,5
28,499,4
28,664,10
28,453,9
28,339,1
28,291,9
28,60,5
28,344,10
28,698,6
28,250,1
28,398,1
28,698,2
28,160,4
28,881,2
28,546,2
31,361,10
31,647,10
31,867,9
31,935,3
31,288,6
31,841,5
31,380,6
31,431,9
31,882,6
31,938,8
31,506,9
31,584,2
31,31,5
31,658,4
31,715,10
31,543,8
31,819,2
32,88,9
32,396,4
32,622,9
32,508,10
32,361,4
32,389,9
32,815,10
32,871,9
32,25,6
32,107,9
32,664,4
32,332,9
32,659,8
33,839,2
33,704,2
33,422,8
33,232,3
33,827,2
33,967,9
33,577,9
33,480,3
33,956,4
33,618,1
33,676,5
33,485,2
33,384,3
33,584,5
33,494,6
33,959,8
33,307,10
38,370,2
38,268,5
38,145,3
38,613,6
38,688,8
38,190,3
38,629,6
38,685,9
38,724,2
38,87,2
38,64,8
38,544,2
38,258,5
38,214,4
38,919,4
38,172,5
38,925,7
38,532,9
38,905,8
38,164,7
38,346,3
38,777,5
38,822,7
38,969,9
38,102,6
38,238,1
38,957,2
42,485,10
42,477,3
42,851,1
42,555,3
42,542,3
42,131,6
42,693,6
42,87,5
42,240,4
42,456,9
42,952,6
42,162,4
42,586,2
42,949,6
42,57,3
42,226,4
42,441,9
42,695,10
42,682,6
42,212,7
42,499,5
42,764,8
43,43,9
43,439,6
43,747,1
43,118,7
43,289,7
43,580,4
43,362,4
43,943,3
43,34,6
43,435,5
43,231,8
43,736,6
43,169,2
43,381,7
43,254,2
43,861,9
43,859,9
43,320,1
43,378,4
43,510,2
45,287,8
45,913,7
45,559,6
45,255,3
45,97,5
45,773,8
45,787,8
45,987,10
45,97,3
45,334,7
45,469,2
45,942,9
45,163,8
45,770,5
45,901,2
45,595,6
45,904,4
45,412,9
45,682,7
49,416,8
49,358,5
49,393,4
49,475,8
49,777,1
49,810,8
49,98,6
49,495,2
49,251,10
49,33,2
49,525,2
49,342,1
49,412,6
50,147,9
50,216,10
50,921,1
50,455,3
50,944,4
50,790,4
50,83,2
50,816,5
50,27,3
50,890,9
50,982,3
50,536,5
50,505,1
50,170,4
50,45,1
50,589,2
50,914,6
50,294,8
52,466,8
52,970,1
52,104,10
52,566,9
52,135,3
52,187,2
52,683,8
52,417,3
52,603,8
52,55,10
52,181,2
52,447,8
52,844,8
52,587,3
52,249,8
52,523,2
52,373,7
52,626,8
52,71,9
52,783,4
52,976,6
55,604,6
55,927,8
55,837,3
55,799,2
55,29,7
55,261,10
55,732,7
55,971,6
55,762,2
55,102,8
55,273,2
55,473,3
55,78,2
55,115,8
55,989,8
55,113,7
55,334,1
55,897,4
55,849,4
55,135,1
55,828,9
55,474,1
56,945,7
56,694,5
56,569,5
56,149,9
56,623,4
56,939,8
56,834,5
56,112,5
56,717,3
56,919,5
56,843,2
56,671,7
56,753,8
56,676,9
56,612,7
56,948,4
56,31,6
56,99,7
56,735,6
62,241,8
62,359,4
62,681,4
62,518,1
62,651,8
62,422,7
62,977,9
62,584,5
62,681,5
62,668,2
62,718,2
62,540,9
62,72,4
62,292,3
62,815,4
62,687,9
62,279,5
62,890,2
62,949,1
62,292,5
62,145,9
62,860,5
64,467,4
64,782,8
64,93,6
64,272,6
64,635,2
64,174,4
64,313,1
64,828,5
64,222,5
64,69,7
64,513,7
64,422,7
64,163,5
64,92,2
64,695,6
64,689,9
64,259,5
64,548,3
64,187,4
64,295,8
65,894,8
65,454,4
65,395,8
65,564,8
65,506,5
65,798,8
65,849,9
65,353,8
65,179,6
65,912,8
65,97,9
65,10,3
65,925,4
65,379,7
65,903,5
65,101,7
65,520,7
65,51,8
65,842,8
65,643,9
65,911,8
65,326,9
65,729,5
65,438,3
65,130,6
67,787,10
67,934,2
67,985,8
67,170,2
67,273,2
67,105,9
67,820,8
67,666,2
67,584,8
67,303,1
67,518,6
67,495,7
67,49,8
67,460,9
67,818,9
67,914,2
67,668,6
67,263,4
67,266,2
67,746,9
69,902,7
69,442,10
69,414,7
69,437,4
69,209,2
69,954,3
69,285,3
69,304,8
69,543,2
69,454,9
69,513,9
69,108,6
69,556,4
69,338,10
69,260,7
69,791,10
69,449,4
69,524,2
69,318,8
69,41,9
69,532,9
69,326,7
69,451,3
70,901,9
70,185,10
70,332,8
70,958,7
70,69,2
70,8,9
70,998,5
70,455,3
70,409,2
70,874,2
70,322,2
71,66,4
71,709,5
71,386,10
71,336,9
71,570,9
71,902,3
71,429,4
71,69,8
71,120,6
71,2,9
71,71,9
71,926,4
71,88,4
71,171,6
71,774,10
71,714,10
74,485,3
74,547,5
74,533,4
74,28,4
74,486,3
74,729,5
74,736,3
74,968,2
74,6,9
74,289,3
74,383,3
74,197,1
74,154,2
74,939,7
74,607,8
74,886,6
74,512,3
75,951,5
75,535,7
75,2,3
75,358,5
75,918,1
75,9,5
75,858,2
75,37,2
75,453,1
75,134,8
75,624,7
75,940,4
75,918,4
75,114,7
75,471,3
75,915,5
75,834,7
75,768,2
75,415,4
75,621,9
75,630,7
75,508,4
75,40,3
75,404,7
75,972,1
80,506,6
80,443,2
80,868,5
80,87,4
80,65,2
80,208,6
80,341,2
80,138,4
80,146,8
80,254,8
80,323,8
80,778,5
80,959,8
80,420,4
80,996,2
80,129,7
81,997,3
81,645,4
81,246,10
81,446,10
81,282,6
81,962,10
81,696,7
81,488,3
81,723,1
81,646,2
81,419,8
81,416,7
81,55,9
81,665,6
81,312,9
81,552,10
81,203,6
81,534,3
81,834,2
81,883,2
81,558,3
81,943,4
81,222,5
81,516,4
81,705,5
81,715,9
81,178,4
82,804,4
82,131,9
82,633,4
82,900,8
82,576,2
82,275,6
82,986,8
82,297,6
82,906,10
82,342,2
82,841,3
82,655,9
82,681,4
82,474,3
82,621,2
82,922,4
